Year,Dynasty1,Area1,Dynasty2,Area2,Dynasty3,Area3,Dynasty4,Area4,Dynasty5,Area5
-210,Qin,347,,,,,,,,
-150,Western Han,210,,,,,,,,
-120,Western Han,267,,,,,,,,
0,Western Han,610,,,,,,,,
85,Eastern Han,425,,,,,,,,
100,Eastern Han,570,,,,,,,,
140,Eastern Han,580,,,,,,,,
260,Three Kingdom,545,,,,,,,,
280,Western Jin,545,,,,,,,,
400,Estern Jin,280,,,,,,,,
450,Southern and Northern Dynasty,798,,,,,,,,
490,Southern and Northern Dynasty,780,,,,,,,,
530,Southern and Northern Dynasty,780,,,,,,,,
573,Southern and Northern Dynasty,132,,,,,,,,
581,Sui,275,,,,,,,,
612,Sui,470,,,,,,,,
628,Tang,430,,,,,,,,
660,Tang,1210,,,,,,,,
700,Tang,930,,,,,,,,
750,Tang,840,,,,,,,,
1120,Northern Song,283,,,,,,,,
1200,Southern Song,200,,,,,,,,
1300,Yuan,2270,,,,,,,,
1426,Ming,1000,,,,,,,,
1440,Ming,950,,,,,,,,
1585,Ming,750,,,,,,,,
1640,Ming,350,,,,,,,,
1690,Qing,975,,,,,,,,
1760,Qing,1310,,,,,,,,
1820,Qing,1300,,,,,,,,
1912,Qing,1131,,,,,,,,
1912,Republic of China,1131,,,,,,,,
1949,PRC,960,,,,,,,,
2018,People republic of China(today),960,,,,,,,,
